nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,121,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,1,148,7,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Mangga,Produk Minuman,Karton,Pendingin,1,123,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,4,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Jambu,Produk Minuman,Karton,Pendingin,1,92,4,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,195,2,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,54,0,51,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Rambutan Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,223,7,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,0,485,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,1,8,2,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Kornet Ayam,Produk Kaleng,Kaleng,Suhu Ruang,1,495,3,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sosis Ayam,Produk Protein,Plastik,Pendingin,0,33,0,36,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,1,51,1,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,1,475,4,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,222,3,-50,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,0,6,0,9,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,1,65,10,250,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,266,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,0,8,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,0,39,0,37,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Jus Jeruk,Produk Minuman,Karton,Pendingin,0,3,0,2,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,0,408,5,-3,Kadaluwarsa,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,503,3,-2,Kadaluwarsa,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,18,0,23,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,42,0,46,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Buah Cocktail,Produk Kaleng,Kaleng,Suhu Ruang,0,193,0,195,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,1,335,8,22,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Apel,Produk Minuman,Karton,Pendingin,0,154,0,155,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,1,61,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,1,0,6,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,1,13,5,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,1,223,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Almond,Produk Olahan Susu,Karton,Pendingin,0,199,0,195,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,52,2,5,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,1,501,6,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,1,81,6,24,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,145,0,140,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,1,20,6,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,1,29,11,-4,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,1,77,4,3,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,288,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,0,240,0,241,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,140,0,144,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ikan,Produk Protein,Plastik,Pembeku,1,57,5,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,90,0,88,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,1,275,12,2,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,13,0,11,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,295,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,1,495,4,26,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,324,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,335,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,34,10,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,163,0,162,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,0,26,0,27,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,139,2,12,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,1,143,3,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,38,0,35,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,77,0,78,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,1,329,4,1,Segera,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Bubuk Skim,Produk Olahan Susu,Karton,Suhu Ruang,0,150,0,145,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Bebek,Produk Protein,Plastik,Pendingin,1,33,6,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Sosis Bebek,Produk Protein,Plastik,Pendingin,0,37,0,41,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,1,505,10,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,14,0,13,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Sapi,Produk Protein,Plastik,Pembeku,1,158,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,1,497,1,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Nugget Udang,Produk Protein,Plastik,Pembeku,0,180,0,179,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,31,0,28,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Ayam,Produk Protein,Plastik,Pendingin,1,56,4,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,0,28,0,26,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,0,154,0,157,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Jeruk,Produk Minuman,Karton,Pendingin,1,149,7,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,1,353,3,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,359,10,11,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,252,2,-1,Kadaluwarsa,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,7,0,5,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,216,0,217,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,0,271,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Skim,Produk Olahan Susu,Karton,Suhu Ruang,0,402,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,0,128,0,124,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Goreng,Produk Kering,Plastik,Suhu Ruang,0,36,0,32,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,0,503,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,0,0,1,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Soda,Produk Minuman,Plastik,Suhu Ruang,0,236,0,240,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Granola,Produk Kering,Karton,Suhu Ruang,0,313,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,0,8,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,0,73,0,71,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,1,114,9,12,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Cream Cheese,Produk Olahan Susu,Karton,Pendingin,1,14,3,11,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,0,266,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kedelai,Produk Olahan Susu,Karton,Pendingin,1,47,7,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,1,38,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sosis Ikan,Produk Protein,Plastik,Pendingin,1,14,2,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Nugget Ayam,Produk Protein,Plastik,Pembeku,1,70,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jus Jambu,Produk Minuman,Karton,Pendingin,1,135,6,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Ikan Tuna,Produk Kaleng,Kaleng,Suhu Ruang,0,400,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,0,301,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,72,1,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,166,0,171,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,0,49,0,44,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,149,0,152,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,171,3,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Evaporasi,Produk Olahan Susu,Kaleng,Pendingin,0,162,0,166,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Jus Mangga,Produk Minuman,Karton,Pendingin,0,47,0,46,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,38,6,-3,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Jus Jambu,Produk Minuman,Karton,Pendingin,0,163,0,165,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Low Fat,Produk Olahan Susu,Karton,Pendingin,0,22,0,19,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Skim,Produk Olahan Susu,Kardus,Suhu Ruang,0,315,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,0,261,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ayam,Produk Protein,Plastik,Pembeku,0,166,0,163,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Jus Jeruk,Produk Minuman,Karton,Pendingin,0,72,0,68,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,0,215,0,214,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,355,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,18,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,1,146,12,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,0,31,0,26,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,117,3,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,1,313,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,55,1,4,Segera,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,45,0,44,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,248,0,246,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,66,0,62,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,118,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,1,115,10,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,0,328,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Granola,Produk Kering,Karton,Suhu Ruang,0,496,0,161,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,1,300,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,67,0,66,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,0,482,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,148,0,144,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,150,0,152,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,1,221,8,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,0,238,0,233,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,0,75,0,79,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,1,476,3,27,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,143,0,141,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,1,30,9,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,342,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,302,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,8,11,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Jeruk,Produk Minuman,Karton,Pendingin,0,142,0,138,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,0,505,7,23,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,156,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,200,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,0,20,0,22,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,1,219,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,176,12,-5,Kadaluwarsa,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,1,168,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,1,246,4,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,0,57,0,53,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
